"CubeId";"plkopr"
"PublishingDate";"2022-10-21 09:00"

"Date";"D0";"Value"
"1945-09";"VVP";"0.81724209"
"1945-10";"LD2010100";"20.22887216"
"1945-10";"VVP";"0.04805571"
"1945-11";"LD2010100";"20.07350798"
"1945-11";"VVP";"-0.72034522"
"1945-12";"LD2010100";"20.07350798"
"1945-12";"VVP";"-0.72034522"
"1946-01";"LD2010100";"20.08312529"
"1946-01";"VVP";"-0.81577092"
"1946-02";"LD2010100";"19.99577632"
"1946-02";"VVP";"-1.34136259"
"1946-03";"LD2010100";"19.89871088"
"1946-03";"VVP";"-1.86780626"
"1946-04";"LD2010100";"19.91804465"
"1946-04";"VVP";"-2.00676074"
"1946-05";"LD2010100";"20.0443586"
"1946-05";"VVP";"-1.52653908"
"1946-06";"LD2010100";"20.13170758"
"1946-06";"VVP";"-1.42678907"
"1946-07";"LD2010100";"20.11227466"
"1946-07";"VVP";"-1.61555511"
"1946-08";"LD2010100";"20.12209027"
"1946-08";"VVP";"-1.3330546"
"1946-09";"LD2010100";"20.13170758"
"1946-09";"VVP";"-1.14460148"
"1946-10";"LD2010100";"20.53960051"
"1946-10";"VVP";"1.53606368"
"1946-11";"LD2010100";"20.56874989"
"1946-11";"VVP";"2.46714182"
"1946-12";"LD2010100";"20.5881828"
"1946-12";"VVP";"2.56395059"
"1947-01";"LD2010100";"20.61723303"
"1947-01";"VVP";"2.65948518"
"1947-02";"LD2010100";"20.60761572"
"1947-02";"VVP";"3.05984321"
"1947-03";"LD2010100";"20.61723303"
"1947-03";"VVP";"3.61089797"
"1947-04";"LD2010100";"20.70468115"
"1947-04";"VVP";"3.94936608"
"1947-05";"LD2010100";"20.99607574"
"1947-05";"VVP";"4.74805483"
"1947-06";"LD2010100";"21.11257409"
"1947-06";"VVP";"4.87224696"
"1947-07";"LD2010100";"21.11257409"
"1947-07";"VVP";"4.97357679"
"1947-08";"LD2010100";"21.12238969"
"1947-08";"VVP";"4.97115067"
"1947-09";"LD2010100";"21.15134077"
"1947-09";"VVP";"5.06481226"
"1947-10";"LD2010100";"21.62734806"
"1947-10";"VVP";"5.29585542"
"1947-11";"LD2010100";"21.65649744"
"1947-11";"VVP";"5.2883503"
"1947-12";"LD2010100";"21.68564681"
"1947-12";"VVP";"5.33055304"
"1948-01";"LD2010100";"21.71469703"
"1948-01";"VVP";"5.32304215"
"1948-02";"LD2010100";"21.70141127"
"1948-02";"VVP";"5.30772488"
"1948-03";"LD2010100";"21.6480699"
"1948-03";"VVP";"4.99987978"
"1948-04";"LD2010100";"21.6480699"
"1948-04";"VVP";"4.55640315"
"1948-05";"LD2010100";"21.66135566"
"1948-05";"VVP";"3.16859175"
"1948-06";"LD2010100";"21.71469703"
"1948-06";"VVP";"2.85196369"
"1948-07";"LD2010100";"21.6480699"
"1948-07";"VVP";"2.53638332"
"1948-08";"LD2010100";"21.62139921"
"1948-08";"VVP";"2.36246714"
